Vic_date,Agre_date,dateStore
2019-02-19 17:59:19.528038,2019-02-19 17:59:19.298830,2019-02-19 17:59:20.103730
2019-02-19 17:59:19.557549,2019-02-19 17:59:19.314955,2019-02-19 17:59:20.104219
2019-02-19 17:59:19.547381,2019-02-19 17:59:19.315371,2019-02-19 17:59:20.104699
2019-02-19 17:59:19.532465,2019-02-19 17:59:19.300978,2019-02-19 17:59:20.105196
2019-02-19 17:59:19.552925,2019-02-19 17:59:19.320188,2019-02-19 17:59:20.105682
2019-02-19 17:59:19.555728,2019-02-19 17:59:19.314520,2019-02-19 17:59:20.106160
2019-02-19 17:59:19.544540,2019-02-19 17:59:19.310220,2019-02-19 17:59:20.106643
2019-02-19 17:59:19.541773,2019-02-19 17:59:19.307465,2019-02-19 17:59:20.107124
2019-02-19 17:59:19.555254,2019-02-19 17:59:19.312931,2019-02-19 17:59:20.107609
2019-02-19 17:59:19.532913,2019-02-19 17:59:19.300466,2019-02-19 17:59:20.108086
2019-02-19 17:59:19.544021,2019-02-19 17:59:19.313260,2019-02-19 17:59:20.108608
2019-02-19 17:59:19.531546,2019-02-19 17:59:19.302659,2019-02-19 17:59:20.109106
2019-02-19 17:59:19.553888,2019-02-19 17:59:19.322150,2019-02-19 17:59:20.109586
2019-02-19 17:59:19.542605,2019-02-19 17:59:19.309746,2019-02-19 17:59:20.110070
2019-02-19 17:59:19.532044,2019-02-19 17:59:19.301610,2019-02-19 17:59:20.110548
2019-02-19 17:59:19.535350,2019-02-19 17:59:19.304883,2019-02-19 17:59:20.111041
2019-02-19 17:59:19.530442,2019-02-19 17:59:19.298309,2019-02-19 17:59:20.111559
2019-02-19 17:59:19.556182,2019-02-19 17:59:19.324040,2019-02-19 17:59:20.112056
2019-02-19 17:59:19.526482,2019-02-19 17:59:19.297722,2019-02-19 17:59:20.112536
2019-02-19 17:59:19.528482,2019-02-19 17:59:19.299927,2019-02-19 17:59:20.113027
2019-02-19 17:59:19.546072,2019-02-19 17:59:19.317691,2019-02-19 17:59:20.113521
2019-02-19 17:59:19.540279,2019-02-19 17:59:19.306431,2019-02-19 17:59:20.114012
2019-02-19 17:59:19.542192,2019-02-19 17:59:19.307978,2019-02-19 17:59:20.212065
2019-02-19 17:59:19.531049,2019-02-19 17:59:19.299344,2019-02-19 17:59:20.212888
2019-02-19 17:59:19.541311,2019-02-19 17:59:19.311135,2019-02-19 17:59:20.213397
2019-02-19 17:59:19.540778,2019-02-19 17:59:19.312019,2019-02-19 17:59:20.213885
2019-02-19 17:59:19.534602,2019-02-19 17:59:19.305977,2019-02-19 17:59:20.214367
2019-02-19 17:59:19.535870,2019-02-19 17:59:19.303550,2019-02-19 17:59:20.214843
