Vic_date,dateStore
2019-02-19 16:04:03.352421,2019-02-19 16:04:03.601645
2019-02-19 16:04:04.080917,2019-02-19 16:04:04.333104
2019-02-19 16:04:04.810318,2019-02-19 16:04:05.061479
2019-02-19 16:04:05.536389,2019-02-19 16:04:05.792275
2019-02-19 16:04:06.283600,2019-02-19 16:04:06.537658
2019-02-19 16:04:07.019255,2019-02-19 16:04:07.272203
2019-02-19 16:04:07.764705,2019-02-19 16:04:08.013996
2019-02-19 16:04:08.500230,2019-02-19 16:04:08.746243
2019-02-19 16:04:09.229139,2019-02-19 16:04:09.476580
2019-02-19 16:04:09.950733,2019-02-19 16:04:10.200419
2019-02-19 16:04:10.678183,2019-02-19 16:04:10.928034
2019-02-19 16:04:11.408800,2019-02-19 16:04:11.658728
2019-02-19 16:04:12.144860,2019-02-19 16:04:12.395167
2019-02-19 16:04:12.874655,2019-02-19 16:04:13.130575
2019-02-19 16:04:13.613773,2019-02-19 16:04:13.869966
2019-02-19 16:04:14.348649,2019-02-19 16:04:14.596956
2019-02-19 16:04:15.081377,2019-02-19 16:04:15.341960
2019-02-19 16:04:15.822847,2019-02-19 16:04:16.079091
2019-02-19 16:04:16.579106,2019-02-19 16:04:16.835625
2019-02-19 16:04:17.328717,2019-02-19 16:04:17.578910
2019-02-19 16:04:18.059947,2019-02-19 16:04:18.314724
2019-02-19 16:04:18.794354,2019-02-19 16:04:19.051293
2019-02-19 16:04:19.530997,2019-02-19 16:04:19.782337
2019-02-19 16:04:20.257727,2019-02-19 16:04:20.505837
2019-02-19 16:04:20.297290,2019-02-19 16:04:20.545515
2019-02-19 16:04:21.001997,2019-02-19 16:04:21.249473
2019-02-19 16:04:21.025467,2019-02-19 16:04:21.271049
2019-02-19 16:04:21.733664,2019-02-19 16:04:21.982438
2019-02-19 16:04:21.764659,2019-02-19 16:04:22.010213
2019-02-19 16:04:22.469644,2019-02-19 16:04:22.721266
2019-02-19 16:04:22.499094,2019-02-19 16:04:22.747668
2019-02-19 16:04:23.199308,2019-02-19 16:04:23.452629
2019-02-19 16:04:23.225650,2019-02-19 16:04:23.478882
2019-02-19 16:04:23.936308,2019-02-19 16:04:24.186220
2019-02-19 16:04:23.955773,2019-02-19 16:04:24.207108
2019-02-19 16:04:24.680968,2019-02-19 16:04:24.929997
2019-02-19 16:04:24.670983,2019-02-19 16:04:24.931961
2019-02-19 16:04:25.415849,2019-02-19 16:04:25.666425
2019-02-19 16:04:25.417678,2019-02-19 16:04:25.673032
2019-02-19 16:04:26.145282,2019-02-19 16:04:26.397079
2019-02-19 16:04:26.882329,2019-02-19 16:04:27.135902
2019-02-19 16:04:27.619404,2019-02-19 16:04:27.873051
2019-02-19 16:04:28.357841,2019-02-19 16:04:28.617887
2019-02-19 16:04:29.098993,2019-02-19 16:04:29.352620
2019-02-19 16:04:29.834230,2019-02-19 16:04:30.086807
2019-02-19 16:04:30.571494,2019-02-19 16:04:30.821911
2019-02-19 16:04:31.311556,2019-02-19 16:04:31.563556
2019-02-19 16:04:32.047760,2019-02-19 16:04:32.303994
2019-02-19 16:04:32.784183,2019-02-19 16:04:33.037448
2019-02-19 16:04:33.510850,2019-02-19 16:04:33.776602
2019-02-19 16:04:34.266378,2019-02-19 16:04:34.518003
2019-02-19 16:04:35.001791,2019-02-19 16:04:35.254405
2019-02-19 16:04:35.734335,2019-02-19 16:04:35.984840
2019-02-19 16:04:36.462829,2019-02-19 16:04:36.715570
2019-02-19 16:04:37.202151,2019-02-19 16:04:37.461507
2019-02-19 16:04:37.945267,2019-02-19 16:04:38.195915
2019-02-19 16:04:38.678354,2019-02-19 16:04:38.921204
2019-02-19 16:04:39.404596,2019-02-19 16:04:39.652467
2019-02-19 16:04:40.131740,2019-02-19 16:04:40.384389
2019-02-19 16:04:40.865684,2019-02-19 16:04:41.115050
2019-02-19 16:04:41.595086,2019-02-19 16:04:41.847191
2019-02-19 16:04:42.330817,2019-02-19 16:04:42.578974
2019-02-19 16:04:43.065671,2019-02-19 16:04:43.318204
2019-02-19 16:04:43.799989,2019-02-19 16:04:44.066976
2019-02-19 16:04:44.557166,2019-02-19 16:04:44.814723
2019-02-19 16:04:45.295099,2019-02-19 16:04:45.548940
2019-02-19 16:04:46.024245,2019-02-19 16:04:46.274659
2019-02-19 16:04:46.767062,2019-02-19 16:04:47.020760
2019-02-19 16:04:47.503989,2019-02-19 16:04:47.760684
2019-02-19 16:04:48.240273,2019-02-19 16:04:48.495192
2019-02-19 16:04:48.978334,2019-02-19 16:04:49.232161
2019-02-19 16:04:49.712848,2019-02-19 16:04:49.963099
2019-02-19 16:04:50.447423,2019-02-19 16:04:50.695528
2019-02-19 16:04:51.177292,2019-02-19 16:04:51.431615
2019-02-19 16:04:51.907579,2019-02-19 16:04:52.153248
2019-02-19 16:04:52.630370,2019-02-19 16:04:52.883947
2019-02-19 16:04:53.360492,2019-02-19 16:04:53.618286
2019-02-19 16:04:54.101801,2019-02-19 16:04:54.352929
2019-02-19 16:04:54.835097,2019-02-19 16:04:55.087056
2019-02-19 16:04:55.572975,2019-02-19 16:04:55.828038
2019-02-19 16:04:56.309095,2019-02-19 16:04:56.565538
2019-02-19 16:04:57.048519,2019-02-19 16:04:57.311483
2019-02-19 16:04:57.788944,2019-02-19 16:04:58.046129
2019-02-19 16:04:58.530335,2019-02-19 16:04:58.791165
2019-02-19 16:04:59.284446,2019-02-19 16:04:59.539494
2019-02-19 16:05:00.030505,2019-02-19 16:05:00.286242
2019-02-19 16:05:00.764600,2019-02-19 16:05:01.009716
2019-02-19 16:05:01.485730,2019-02-19 16:05:01.736039
2019-02-19 16:05:02.214483,2019-02-19 16:05:02.466571
2019-02-19 16:05:02.953458,2019-02-19 16:05:03.209259
2019-02-19 16:05:03.689330,2019-02-19 16:05:03.953502
2019-02-19 16:05:04.438243,2019-02-19 16:05:04.697937
2019-02-19 16:05:05.178940,2019-02-19 16:05:05.432125
2019-02-19 16:05:05.913954,2019-02-19 16:05:06.178112
2019-02-19 16:05:06.666733,2019-02-19 16:05:06.922558
2019-02-19 16:05:07.401196,2019-02-19 16:05:07.651392
2019-02-19 16:05:08.131760,2019-02-19 16:05:08.381629
2019-02-19 16:05:08.861626,2019-02-19 16:05:09.116032
2019-02-19 16:05:09.600475,2019-02-19 16:05:09.851203
2019-02-19 16:05:10.336375,2019-02-19 16:05:10.591510
2019-02-19 16:05:11.072532,2019-02-19 16:05:11.323084
2019-02-19 16:05:11.801873,2019-02-19 16:05:12.065665
